relative_time,AccX,AccY,AccZ
7400,-0.865799560546875,-0.8738827514648438,9.554930419921876
7470,-0.8366102600097657,-0.8972341918945312,9.519603881835938
7534,-0.8205935668945313,-0.9467811584472656,9.747879180908203
7601,-0.731678466796875,-0.9812095642089844,9.607471160888672
7670,-0.708776092529297,-1.1088940429687502,10.017318878173828
7734,-0.6542893981933594,-1.1603869628906252,9.83005828857422
7801,-0.6685098266601562,-1.2475057983398439,10.071506195068359
7870,-0.6659651184082032,-1.3305830383300783,10.0351318359375
7934,-0.652642822265625,-1.3898597717285157,9.979747009277345
8001,-0.6309379577636719,-1.4374607849121095,9.856852569580079
8070,-0.57719970703125,-1.4588662719726564,9.82392105102539
8134,-0.5227130126953126,-1.4623091125488281,9.821825408935547
8201,-0.4357438659667969,-1.4383589172363282,9.603279876708985
8270,-0.3852987670898438,-1.4012361145019532,9.435478820800782
8333,-0.39592666625976564,-1.4199472045898438,9.757459259033203
8401,-0.4340972900390625,-1.4076727294921876,9.860145721435547
8470,-0.4902305603027344,-1.3629158020019532,9.707163848876954
8534,-0.5619314575195313,-1.3368699645996094,9.775721282958985
8601,-0.6243516540527344,-1.2886701965332032,9.915979614257813
8670,-0.6682104492187501,-1.2166699218750001,9.983339538574219
8734,-0.6604266357421875,-1.1283535766601562,9.852810974121095
8801,-0.6659651184082032,-1.0373428344726563,9.772428131103515
8870,-0.6643185424804687,-0.9460327148437501,9.59878921508789
8934,-0.6985972595214844,-0.9032217407226563,9.702822875976564
9001,-0.743653564453125,-0.8613088989257813,9.620194702148439
9071,-0.7447013854980469,-0.8482859802246094,9.40524169921875
9134,-0.7996371459960938,-0.9096583557128907,9.62363754272461
9201,-0.8114625549316407,-0.9659413146972656,9.696535949707032
9269,-0.7744894409179688,-1.0431806945800781,9.715696105957031
9334,-0.7331753540039063,-1.153201904296875,9.946665802001954
9401,-0.678988037109375,-1.2311897277832031,9.923314361572267
9470,-0.6388714599609375,-1.29570556640625,9.985584869384766
9534,-0.61072998046875,-1.3846206665039062,10.080038452148438
9601,-0.6033952331542969,-1.4073733520507814,9.935289459228516
9670,-0.572259979248047,-1.3892610168457031,9.55418197631836
9734,-0.5249583435058593,-1.4162049865722657,9.618697814941406
9801,-0.49906219482421876,-1.4444961547851562,9.770931243896484
9868,-0.4626878356933594,-1.439107360839844,9.745633850097656
9934,-0.43768981933593754,-1.4123130798339845,9.674681396484376
10001,-0.4423301696777344,-1.4081217956542968,9.739795989990235
10070,-0.47496231079101564,-1.35797607421875,9.745484161376954
10134,-0.5225633239746094,-1.3016931152343751,9.715995483398437
10200,-0.5655239868164063,-1.3009446716308595,10.025851135253907
10270,-0.6149212646484375,-1.2193643188476564,9.988428955078126
10334,-0.647852783203125,-1.1409274291992189,9.927505645751953
10401,-0.6728507995605469,-1.056353302001953,9.685309295654298
10470,-0.6806346130371094,-0.9901908874511719,9.467212829589844
10534,-0.6936575317382813,-0.9708810424804688,9.624685363769531
10600,-0.7423063659667969,-0.9788145446777344,9.95938934326172
10670,-0.7551795959472657,-0.9391470336914063,9.634564819335939
10734,-0.7746391296386719,-0.9333091735839845,9.47185317993164
10801,-0.8138575744628906,-0.9689350891113282,9.553882598876953
10870,-0.8199948120117188,-1.026415557861328,9.740394744873047
10934,-0.7653584289550782,-1.0948233032226562,9.76015365600586
11001,-0.7297325134277344,-1.2216096496582032,10.137069854736328
11070,-0.6634204101562501,-1.2747491455078126,9.917027435302735
11134,-0.6053411865234375,-1.311273193359375,9.766290893554688
11201,-0.5840853881835938,-1.3832734680175782,9.833052062988282
11270,-0.5385800170898438,-1.4209950256347657,9.828561401367187
11334,-0.5402265930175781,-1.4447955322265627,9.91582992553711
11401,-0.48514114379882817,-1.36755615234375,9.486372985839845
11470,-0.47136978149414066,-1.3922547912597656,9.737700347900391
11534,-0.44577301025390625,-1.3608201599121095,9.633067932128906
11601,-0.43724075317382816,-1.3344749450683595,9.632020111083985
